Drug,Class
Gentamicin (Topical), Antibacterials
Senna, Cathartics and Laxatives
Phenelzine, Monoamine Oxidase Inhibitors
Telithromycin,"Antibiotic, Ketolide"
MetroLotion,Topical anti-rosacea agents
metroNIDAZOLE (Systemic)," Antiprotozoals, Miscellaneous"
MetroGel Vaginal,Topical anti-rosacea agents
metroNIDAZOLE (Topical), Antibacterials
Metvixia,Topical photochemotherapeutics
Metyrosine,Miscellaneous cardiovascular agents
Mevacor,Statins
Sulfacetamide Topical,Topical antibiotics
Mexiletine, Class Ib Antiarrhythmics
Mexitil,Group I antiarrhythmics
Telmisartan, Angiotensin II Receptor Antagonists
Ziextenzo,Colony stimulating factors
Ziac,Beta blockers with thiazides
Ziagen,Nucleoside reverse transcriptase inhibitors (NRTIs)
Ziana,Topical acne agents
Ziconotide," Analgesics and Antipyretics, Miscellaneous"
Hydrochlorothiazide, Thiazide Diuretics
Zidovudine, HIV Nucleoside and Nucleotide Reverse Transcriptase Inhibitors
Benzyl Alcohol, Scabicides and Pediculicides
Zileuton, Leukotriene Modifiers
Zilretta,Glucocorticoids
Telmisartan and Amlodipine,Angiotensin II Receptor Blocker
Zinacef,Second generation cephalosporins
Zinbryta,Interleukin inhibitors
Zinc,Minerals and electrolytes
Zinc Sulfate,Trace Element
Zinc Acetate,"Chelating Agent, Oral"
Zinc Gluconate,Trace Element
Zinc Sulfate Injection,Minerals and electrolytes
Zinecard,Miscellaneous uncategorized agents
Zinplava,Immune globulins
Telmisartan and Hydrochlorothiazide,Angiotensin II Receptor Blocker
Zioptan,Ophthalmic glaucoma agents
Ziprasidone, Atypical Antipsychotics
Zipsor,Nonsteroidal anti-inflammatory drugs
Zirabev,VEGF / VEGFR inhibitors
Zirconium Cyclosilicate, Potassium-removing Agents
Zirgan,Ophthalmic anti-infectives
Zithranol Shampoo,Topical antipsoriatics
Zithranol-RR Cream,Topical antipsoriatics
Zithromax,Macrolides
Azithromycin, Other Macrolides
Telotristat, Antidiarrhea Agents
Ziv-aflibercept, Antineoplastic Agents
RabAvert,Viral vaccines
RABEprazole, Proton-pump Inhibitors
Rabies Immune Globulin, Antitoxins and Immune Globulins
Lidocaine and Hydrocortisone Rectal Cream,Topical anesthetics
Radicava,Miscellaneous central nervous system agents
Radiogardase,Antidotes
Ragwitek,Allergenics
"Drospirenone, Ethinyl Estradiol and Levomefolate",Contraceptives
Raloxifene, Estrogen Agonists-Antagonists
Temazepam, Benzodiazepines
Raltegravir, HIV Integrase Inhibitors
Ramelteon," Anxiolytics, Sedatives, and Hypnotics; Miscellaneous"
Ramipril, Angiotensin-Converting Enzyme Inhibitors
Ramucirumab, Antineoplastic Agents
Ranexa,Antianginal agents
Ranibizumab," EENT Drugs, Miscellaneous"
Ranolazine," Cardiac Drugs, Miscellaneous"
Rapaflo,"Antiadrenergic agents, peripherally acting"
Rapamune,MTOR inhibitors
Sirolimus, Immunosuppressive Agents
Temixys,Antiviral combinations
Rapivab,Neuraminidase inhibitors
Fibrin Sealant,Blood Product Derivative
Rasagiline, Monoamine Oxidase B Inhibitors
Rasburicase, Enzymes
Rasuvo Injection,Antimetabolites
Amoxicillin/Clavulanate, Aminopenicillins
Haloperidol, Butyrophenones
Indomethacin, Other Nonsteroidal Anti-inflammatory Agents
Ipratropium and Albuterol,Anticholinergic Agent
"Ipratropium (Systemic, Oral Inhalation)", Antimuscarinics/Antispasmodics
Temodar,Alkylating agents
Ketorolac (EENT), Nonsteroidal Anti-inflammatory Agents
Levobunolol, beta-Adrenergic Blocking Agents
Ravicti Oral Liquid,Urea cycle disorder agents
Ravulizumab-cwvz, Complement Inhibitors
Raxibacumab, Antitoxins and Immune Globulins
Rayaldee,Vitamins
Rayos,Glucocorticoids
Razadyne,Cholinesterase inhibitors
Galantamine, Parasympathomimetic (Cholinergic) Agents
C1-Esterase Inhibitor (Human), Complement Inhibitors
Temovate,Topical steroids
C1-Esterase Inhibitor (Recombinant), Complement Inhibitors
Levonorgestrel Emergency Contraceptive,Contraceptives
My Way Tablets,Contraceptives
Multi-Vit with Fluoride and Iron,Iron products
Myalept,Miscellaneous metabolic agents
